"TCG region",Expansion,"Card number","Card number sorting order","Card name",Rarity,"Card variant","Card language","Card condition",Note,Quantity
International,"Surging Sparks",010/191,10,Dhelmise,Common,Normal,English,Unspecified,,1
International,"Surging Sparks",023/191,23,Simisear,Common,Normal,English,Unspecified,,1
International,"Surging Sparks",027/191,27,Sizzlipede,Common,Normal,English,Unspecified,,1
International,"Surging Sparks",043/191,43,Spheal,Common,Normal,English,Unspecified,,1
International,"Surging Sparks",071/191,71,Togetic,Common,"Reverse Holo",English,Unspecified,,1
International,"Surging Sparks",082/191,82,Yamask,Common,Normal,English,Unspecified,,1
International,"Surging Sparks",083/191,83,Cofagrigus,Rare,"Normal Holo",English,Unspecified,,1
International,"Surging Sparks",095/191,95,Espathra,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Surging Sparks",097/191,97,Gimmighoul,Common,"Reverse Holo",English,Unspecified,,1
International,"Surging Sparks",099/191,99,Primeape,Common,Normal,English,Unspecified,,1
International,"Surging Sparks",105/191,105,Vibrava,Common,Normal,English,Unspecified,,1
International,"Surging Sparks",108/191,108,Drilbur,Common,Normal,English,Unspecified,,1
International,"Surging Sparks",111/191,111,Passimian,Uncommon,Normal,English,Unspecified,,1
International,"Surging Sparks",116/191,116,Koraidon,Uncommon,Normal,English,Unspecified,,1
International,"Surging Sparks",116/191,116,Koraidon,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Surging Sparks",117/191,117,Deino,Common,Normal,English,Unspecified,,1
International,"Surging Sparks",120/191,120,Shroodle,Common,Normal,English,Unspecified,,1
International,"Surging Sparks",126/191,126,Bronzor,Common,Normal,English,Unspecified,,1
International,"Surging Sparks",129/191,129,Duraludon,Common,"Reverse Holo",English,Unspecified,,1
International,"Surging Sparks",148/191,148,Swablu,Common,Normal,English,Unspecified,,1
International,"Surging Sparks",154/191,154,Helioptile,Common,Normal,English,Unspecified,,2
International,"Surging Sparks",157/191,157,Tandemaus,Common,Normal,English,Unspecified,,1
International,"Stellar Crown",005/142,5,Lileep,Common,Normal,English,Unspecified,,1
International,"Stellar Crown",012/142,12,Applin,Common,Normal,English,Unspecified,,1
International,"Stellar Crown",034/142,34,Azumarill,Uncommon,Normal,English,Unspecified,,1
International,"Stellar Crown",045/142,45,Veluza,Uncommon,Normal,English,Unspecified,,1
International,"Stellar Crown",077/142,77,Meditite,Common,Normal,English,Unspecified,,1
International,"Stellar Crown",083/142,83,Mienfoo,Common,Normal,English,Unspecified,,1
International,"Stellar Crown",087/142,87,Crabrawler,Common,Normal,English,Unspecified,,1
International,"Stellar Crown",088/142,88,Falinks,Common,"Reverse Holo",English,Unspecified,,1
International,"Stellar Crown",092/142,92,Swalot,Uncommon,Normal,English,Unspecified,,1
International,"Stellar Crown",094/142,94,Impidimp,Common,Normal,English,Unspecified,,1
International,"Shrouded Fable",003/064,3,Rowlet,Common,Normal,English,Unspecified,,1
International,"Shrouded Fable",016/064,16,Drowzee,Common,Normal,English,Unspecified,,2
International,"Shrouded Fable",027/064,27,Zubat,Common,Normal,English,Unspecified,,1
International,"Shrouded Fable",028/064,28,Golbat,Common,Normal,English,Unspecified,,1
International,"Shrouded Fable",030/064,30,Absol,Common,Normal,English,Unspecified,,1
International,"Shrouded Fable",033/064,33,Inkay,Common,Normal,English,Unspecified,,1
International,"Shrouded Fable",040/064,40,Genesect,Uncommon,Normal,English,Unspecified,,1
International,"Shrouded Fable",052/064,52,Stufful,Common,Normal,English,Unspecified,,1
International,"Shrouded Fable",057/064,57,"Colress's Tenacity",Uncommon,Normal,English,Unspecified,,1
International,"Twilight Masquerade",006/167,6,Sunkern,Common,Normal,English,Unspecified,,1
International,"Twilight Masquerade",007/167,7,Sunflora,Uncommon,Normal,English,Unspecified,,1
International,"Twilight Masquerade",014/167,14,Grookey,Common,Normal,English,Unspecified,,1
International,"Twilight Masquerade",016/167,16,Rillaboom,Uncommon,Normal,English,Unspecified,,1
International,"Twilight Masquerade",021/167,21,Poltchageist,Common,"Trick or Trade 2024",English,Unspecified,,1
International,"Twilight Masquerade",028/167,28,Slugma,Common,Normal,English,Unspecified,,1
International,"Twilight Masquerade",031/167,31,Chimchar,Common,Normal,English,Unspecified,,1
International,"Twilight Masquerade",035/167,35,Darmanitan,Uncommon,Normal,English,Unspecified,,1
International,"Twilight Masquerade",051/167,51,Snorunt,Common,Normal,English,Unspecified,,1
International,"Twilight Masquerade",056/167,56,Froakie,Common,Normal,English,Unspecified,,1
International,"Twilight Masquerade",069/167,69,Emolga,Common,Normal,English,Unspecified,,1
International,"Twilight Masquerade",073/167,73,Tadbulb,Common,Normal,English,Unspecified,,1
International,"Twilight Masquerade",079/167,79,Clefable,Uncommon,"Reverse Holo",English,Unspecified,,1
International,"Twilight Masquerade",085/167,85,Chimecho,Common,Normal,English,Unspecified,,1
International,"Twilight Masquerade",087/167,87,Floette,Common,Normal,English,Unspecified,,1
International,"Twilight Masquerade",089/167,89,Swirlix,Common,Normal,English,Unspecified,,1
International,"Twilight Masquerade",118/167,118,"Brute Bonnet",Uncommon,Normal,English,Unspecified,,1
International,"Twilight Masquerade",126/167,126,Applin,Common,Normal,English,Unspecified,,1
International,"Twilight Masquerade",127/167,127,Dipplin,Uncommon,Normal,English,Unspecified,,1
International,"Twilight Masquerade",139/167,139,Ducklett,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",007/162,7,Breloom,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",010/162,10,Turtwig,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",011/162,11,Grotle,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",020/162,20,Bramblin,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",024/162,24,Rabsca,Uncommon,Normal,English,Unspecified,,1
International,"Temporal Forces",028/162,28,Slugma,Common,Normal,English,Unspecified,,2
International,"Temporal Forces",032/162,32,Litten,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",035/162,35,Turtonator,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",037/162,37,Centiskorch,Uncommon,Normal,English,Unspecified,,1
International,"Temporal Forces",039/162,39,Totodile,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",040/162,40,Croconaw,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",043/162,43,Sharpedo,Uncommon,Normal,English,Unspecified,,1
International,"Temporal Forces",049/162,49,Palafin,Uncommon,Normal,English,Unspecified,,1
International,"Temporal Forces",052/162,52,Raichu,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",061/162,61,"Iron Hands",Uncommon,Normal,English,Unspecified,,1
International,"Temporal Forces",066/162,66,Girafarig,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",074/162,74,Beheeyem,Uncommon,Normal,English,Unspecified,,1
International,"Temporal Forces",082/162,82,Meditite,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",086/162,86,Excadrill,Uncommon,Normal,English,Unspecified,,1
International,"Temporal Forces",087/162,87,Golett,Common,Normal,English,Unspecified,,1
International,"Temporal Forces",095/162,95,Coalossal,Uncommon,Normal,English,Unspecified,,1
International,"Temporal Forces",098/162,98,"Sandy Shocks",Uncommon,Normal,English,Unspecified,,1
International,"Temporal Forces",100/162,100,Ekans,Common,Normal,English,Unspecified,,1
